courseTitle,courseId,enrollmentMonth,userId
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2026-01-01,42
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2026-02-01,5
HubSpot CRM Theory and Practice,cf99fcf5-22d7-4b8d-b42f-b236b62f7314,2026-01-01,2
HubSpot CRM Theory and Practice,cf99fcf5-22d7-4b8d-b42f-b236b62f7314,2026-02-01,1
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-06-01,50
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-07-01,14
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-08-01,6
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-09-01,3
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-10-01,11
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-11-01,8
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2025-12-01,31
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2026-01-01,42
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,2026-02-01,5
,,2025-04-01,1
,,2025-05-01,1
,,2025-11-01,4
,,2025-12-01,26
,,2026-01-01,34
,,2026-02-01,8
